iter	Logloss
0	0.6497735525
1	0.6255212227
2	0.5778817393
3	0.5533614911
4	0.537926103
5	0.5115464215
6	0.501377616
7	0.4923288048
8	0.484404638
9	0.4750659715
10	0.4675420767
11	0.4609733898
12	0.4563064634
13	0.4502214635
14	0.4387520453
15	0.4360224454
16	0.4338343063
17	0.4312913283
18	0.4287483994
19	0.4273830273
20	0.4249904168
21	0.4225539664
22	0.4174950287
23	0.4134636306
24	0.4131778667
25	0.4119644938
26	0.4107243717
27	0.404933474
28	0.4037421788
29	0.4019967148
30	0.3943224435
31	0.3930706793
32	0.3928648451
33	0.3897620625
34	0.388066629
35	0.3835304083
36	0.3819458847
37	0.3806585096
38	0.3793801622
39	0.3753390225
40	0.3743053076
41	0.3682833383
42	0.3661098511
43	0.3653047338
44	0.3630982215
45	0.3613724362
46	0.3605283898
47	0.3604269088
48	0.3570951887
49	0.3551911274
50	0.3548411392
51	0.3535896498
52	0.3446983529
53	0.3437744666
54	0.3424074701
55	0.3403031376
56	0.3382916734
57	0.3344865518
58	0.3327328401
59	0.3320413572
60	0.3311949928
61	0.3300719848
62	0.3286963798
63	0.3286698397
64	0.3255216211
65	0.3251507329
66	0.3184394652
67	0.3178555238
68	0.3149510123
69	0.3135891268
70	0.3093677252
71	0.3091180731
72	0.3077356934
73	0.2996329278
74	0.2963583377
75	0.2960716607
76	0.2917474696
77	0.2910540321
78	0.2885924449
79	0.2881850904
80	0.2811227629
81	0.2773524167
82	0.2749966842
83	0.2735047255
84	0.2720845142
85	0.2697192584
86	0.2689532772
87	0.2659586907
88	0.2650112699
89	0.2633534249
90	0.2626498263
91	0.2600085826
92	0.2586273396
93	0.257850481
94	0.2543232325
95	0.2498693362
96	0.2485857243
97	0.2479502805
98	0.2459159471
99	0.2426812338
100	0.2401605152
101	0.2387867637
102	0.2361751491
103	0.2345621559
104	0.2308241823
105	0.2298608738
106	0.2239994334
107	0.2218477803
108	0.2206549394
109	0.2197557628
110	0.2161816785
111	0.2157017124
112	0.2151429063
113	0.2143340782
114	0.2133022762
115	0.2099044062
116	0.2073783212
117	0.2031298003
118	0.2022841654
119	0.2017454033
120	0.1991907617
121	0.1961830354
122	0.1938744259
123	0.1910955992
124	0.1881731642
125	0.1876907588
126	0.1866219444
127	0.1860882033
128	0.1820494637
129	0.1804226089
130	0.1800766934
131	0.1774897418
132	0.1768676081
133	0.175270153
134	0.1737408224
135	0.1722671372
136	0.1712782345
137	0.1700342822
138	0.1674993439
139	0.1668494643
140	0.1655018786
141	0.16447343
142	0.163882208
143	0.1632509279
144	0.1612091332
145	0.1593448335
146	0.1573221558
147	0.1554498682
148	0.1549736217
149	0.1523809845
150	0.1511473245
151	0.1492293494
152	0.1488814406
153	0.147592349
154	0.1463431756
155	0.1458120812
156	0.1450975032
157	0.14333752
158	0.1418262199
159	0.1400282438
160	0.1394301405
161	0.1379372739
162	0.1373518111
163	0.1357534136
164	0.1356027194
165	0.1345975442
166	0.133335392
167	0.132792589
168	0.1315511143
169	0.1307507688
170	0.1302251382
171	0.1291376729
172	0.128786688
173	0.1284434156
174	0.1279843425
175	0.1275703321
176	0.1270060512
177	0.1266280666
178	0.1258393229
179	0.1255348929
180	0.1248938845
181	0.1242045256
182	0.1234653109
183	0.1219703561
184	0.1216663909
185	0.120668246
186	0.1202728406
187	0.1199902699
188	0.1194374358
189	0.1192767688
190	0.119111725
191	0.1188871548
192	0.1181718332
193	0.1180043931
194	0.1176509483
195	0.1170266205
196	0.1168706745
197	0.1167076722
198	0.1160165312
199	0.1153637034
200	0.1151446397
201	0.1138842667
202	0.1124472358
203	0.1117726666
204	0.1099867153
205	0.1094103585
206	0.1091120756
207	0.1088272486
208	0.1076529924
209	0.1070800753
210	0.1066984115
211	0.1065416626
212	0.1064807325
213	0.1061953683
214	0.1052170996
215	0.104737228
216	0.1038492844
217	0.1029554478
218	0.1023372391
219	0.1021089501
220	0.1021078658
221	0.1009061283
222	0.1004283196
223	0.1001385395
224	0.09944748934
225	0.09864405967
226	0.0985379173
227	0.09831267876
228	0.09814352557
229	0.09805833066
230	0.09794335214
231	0.0978897124
232	0.09750760926
233	0.09723135628
234	0.09713898019
235	0.09698776029
236	0.09668743955
237	0.09589461557
238	0.09563307588
239	0.09516372077
240	0.09502833749
241	0.09479548611
242	0.09470104181
243	0.09396150838
244	0.09377316878
245	0.09368045846
246	0.09367465825
247	0.09267986762
248	0.09247989188
249	0.09175689982
250	0.09139690417
251	0.09078764494
252	0.09074218333
253	0.0905264111
254	0.09019815026
255	0.08997495124
256	0.08987428028
257	0.08940852352
258	0.089052738
259	0.08896624625
260	0.0887729786
261	0.08861034819
262	0.088397021
263	0.08829785679
264	0.08797557262
265	0.08771999365
266	0.08744245926
267	0.08730171277
268	0.08702153393
269	0.08686552512
270	0.08672545909
271	0.08639839337
272	0.08624436988
273	0.08618078228
274	0.08568918686
275	0.08510493945
276	0.08490222388
277	0.08468294819
278	0.08454556329
279	0.08370286292
280	0.08334312268
281	0.0831321866
282	0.08296355305
283	0.08269929011
284	0.08180506722
285	0.08173590013
286	0.0815076356
287	0.08134055677
288	0.08077187131
289	0.08034295884
290	0.08002121695
291	0.07997794064
292	0.07993090742
293	0.07978269673
294	0.07971148441
295	0.07964626196
296	0.07933292835
297	0.07885993694
298	0.07879024523
299	0.07835585211
300	0.07816417461
301	0.07755775359
302	0.07698310139
303	0.07683965297
304	0.07672847551
305	0.07604228569
306	0.07581795886
307	0.07512170453
308	0.07451319714
309	0.07360722212
310	0.07321917338
311	0.07310913248
312	0.07296271931
313	0.07268984252
314	0.07243967181
315	0.07232686413
316	0.0722500703
317	0.07218365932
318	0.07134888428
319	0.07129754171
320	0.07128124026
321	0.07083038879
322	0.07059979692
323	0.07006428302
324	0.06896615402
325	0.06826942704
326	0.06782228032
327	0.06723414775
328	0.06708024804
329	0.06682443967
330	0.06655145154
331	0.06643618472
332	0.06607083047
333	0.06584615205
334	0.06542304726
335	0.06475927348
336	0.06399093302
337	0.06386866573
338	0.06375637853
339	0.06368089542
340	0.0632820927
341	0.06320132482
342	0.06305160993
343	0.0623891712
344	0.06227088366
345	0.06189763225
346	0.06126647777
347	0.06099816181
348	0.06088713843
349	0.06083290132
350	0.06054371524
351	0.06001319283
352	0.05983802475
353	0.05975690391
354	0.05965389981
355	0.05949805516
356	0.05945628819
357	0.05928882617
358	0.05853343357
359	0.05846078084
360	0.05813937702
361	0.05796513691
362	0.05785469762
363	0.05782103771
364	0.05758755427
365	0.05742391185
366	0.05716273915
367	0.05715949521
368	0.05675671274
369	0.05651085157
370	0.05632918294
371	0.05631859324
372	0.0561811119
373	0.056083427
374	0.05578755485
375	0.05565057768
376	0.05496299511
377	0.05464540236
378	0.05449496997
379	0.05387187563
380	0.05370167165
381	0.05344084177
382	0.0533575898
383	0.05327720412
384	0.05298489115
